Title,Longitude,Latitude
Mulligan's Grocery,-8428712.742,5642403.986499999649823
Raymonds,-8416483.513,5644489.788200000301003
Foodland,-8415975.228,5645116.242899999953806
Circle K,-8442359.905,5652093.057199999690056
C-Store,-8441324.233,5653202.071200000122190
Your Independent Grocer,-8441241.7,5653554.193799999542534
Your Independent Grocer,-8425000.861,5656632.995600000023842
Rexall,-8424899.916,5656702.648500000126660
Circle K,-8425368.159,5657371.047399999573827
Shoppers Drug Mart,-8424054.244,5658408.740799999795854
Metcalfe Variety,-8401775.121,5658588.539599999785423
That Corner Store,-8430255.309,5659834.983900000341237
Ultramar,-8451004.09,5661660.397900000214577
Bakker's General Store,-8418499.511,5661876.965699999593198
Foodland,-8410712.732,5663078.334800000302494
Circle K,-8452370.67,5663328.447100000455976
Shoppers Drug Mart,-8452479.307,5663372.179200000129640
Greely Convenience Store,-8411544.991,5663408.860000000335276
Farm Boy,-8453790.072,5663564.887400000356138
Loblaws,-8431712.994,5663823.431900000199676
Your Independent Grocer,-8432083.332,5663824.902800000272691
Shoppers Drug Mart,-8432579.873,5663847.015200000256300
Costco,-8436278.898,5663858.719700000248849
MacEwen,-8438217.517,5663962.386099999770522
Your Independent Grocer,-8452323.894,5663969.598000000230968
Shoppers Drug Mart,-8426689.222,5664032.284099999815226
Quickie,-8426799.718,5664056.358400000259280
Bulk Barn,-8431917.288,5664057.275600000284612
C-Store,-8415176.668,5664104.317999999970198
Your Independent Grocer,-8426598.307,5664218.015200000256300
Circle K,-8444372.73,5664218.393799999728799
Walmart Supercentre,-8431422.295,5664410.836099999956787
Canadian Tire Gas+,-8432084.724,5664505.271200000308454
Petro-Canada & Car Wash,-8452592.842,5664558.261500000022352
Bulk Barn,-8445941.111,5664681.868099999614060
Rexall,-8427853.799,5664741.908499999903142
FreshCo,-8427992.05,5664744.289599999785423
Farm Boy,-8432118.743,5664788.866899999789894
Shoppers Drug Mart,-8428941.561,5664819.508000000379980
Metro,-8429261.126,5664841.227400000207126
Circle K,-8431161.862,5664880.837899999693036
Walmart Supercentre,-8446069.762,5664948.384499999694526
Quickie,-8435470.741,5665000.699099999852479
Petro-Canada,-8429071.916,5665063.122200000099838
Ultramar - Gas Station,-8451811.824,5665087.419400000013411
Waypoint Stittsville,-8451475.361,5665379.354500000365078
Shell Select,-8455316.82,5665583.955099999904633
No Frills,-8450563.932,5665829.125000000000000
Quickie,-8442274.257,5665916.914800000376999
Metro,-8445308.37,5666007.093700000084937
Real Canadian Superstore,-8445425.3,5666148.977400000207126
Circle K,-8425275.586,5666209.590099999681115
Shoppers Drug Mart,-8450483.893,5666309.057900000363588
Food Basics,-8433146.779,5666399.763899999670684
Nasa Food Centre,-8429589.552,5666428.464800000190735
Quickie,-8429409.459,5666465.851599999703467
Food Basics,-8450658.331,5666530.640899999998510
A2Z Corner,-8431970.042,5666554.074300000444055
Afri Market Place,-8433191.162,5666786.422500000335276
Shell Select,-8427248.614,5666796.533300000242889
Petro-Canada,-8433252.633,5666862.037899999879301
Shoppers Drug Mart,-8445636.507,5666871.926099999807775
Farm Boy,-8429564.45,5667080.232800000347197
Ozan Turkish Market,-8445864.055,5667472.758299999870360
Circle K,-8444490.15,5667502.744199999608099
Shell Select,-8430038.036,5667544.661899999715388
Sobeys,-8448721.906,5667638.606599999591708
Spice World Supermarket,-8444470.602,5667651.693199999630451
Barrhaven Market,-8430088.286,5667734.832999999634922
Circle K,-8448502.473,5667758.077399999834597
Food Africana,-8447112.136,5667859.130599999800324
Circle K,-8447133.298,5667892.614799999631941
Ultramar - Gas Station,-8452221.925,5667931.542399999685585
Best Price Oriental Market,-8448061.625,5668213.141900000162423
Ultramar - Gas Station,-8447988.7,5668354.664699999615550
County Line,-8413642.585,5668399.404500000178814
Circle K,-8449259.034,5668499.370699999853969
The Indian Supermarket,-8447832.797,5668509.404299999587238
Petro-Canada,-8430418.905,5668510.417999999597669
Farm Boy,-8447817.468,5668792.904699999839067
Bulk Barn,-8447778.384,5668901.217799999751151
Shoppers Drug Mart,-8446901.82,5669155.752299999818206
Petro-Canada,-8446832.402,5669236.009100000374019
Rexall,-8446705.686,5669290.335900000296533
Costco,-8450618.557,5669302.592000000178814
Circle K,-8446701.913,5669518.123999999836087
Petro-Canada,-8450889.898,5670148.383899999782443
Canadian Tire Gas+,-8451011.927,5670257.140700000338256
Loblaws,-8450982.594,5670466.316399999894202
Circle K,-8451233.108,5670483.221699999645352
Farm Boy,-8451556.936,5670579.667600000277162
Shoppers Drug Mart,-8451239.976,5670676.304399999789894
Shell,-8452798.472,5670816.647099999710917
Food Basics,-8448665.868,5670878.398299999535084
Shell Select,-8447213.638,5670985.391200000420213
Shell Select,-8465898.175,5671654.839700000360608
Canadian Tire Gas+,-8414947.65,5671732.636400000192225
Barada Mart,-8414892.77,5671886.326000000350177
FreshCo,-8415285.283,5671893.924800000153482
FreshCo,-8441968.462,5671952.040400000289083
Shoppers Drug Mart,-8415112.849,5672029.125699999742210
Rexall,-8442013.339,5672161.916899999603629
Circle K,-8441713.952,5672192.207000000402331
Kanata Kash N' Karry,-8447985.817,5672195.990600000135601
Canadian Tire Gas+,-8442033.851,5672279.156100000254810
Bells Corners Mini Mart,-8441493.384,5672418.130900000222027
Kowloon Market,-8452111.586,5672463.378999999724329
Bytown Marche,-8423224.068,5672471.550400000065565
Helpful Neighbour,-8451954.436,5672547.211900000460446
Circle K,-8435497.848,5672644.488400000147521
Metro,-8435813.75,5672712.585099999792874
Loblaws,-8441630.997,5672744.630400000140071
Stinson,-8415252.933,5672826.646700000390410
Tatka,-8440451.266,5673013.207399999722838
Francis Gas Bar,-8429129.157,5673146.098199999891222
Circle K,-8440215.714,5673171.747999999672174
Petro-Canada,-8440397.688,5673210.524699999950826
Shoppers Drug Mart,-8435741.181,5673342.895499999634922
Shoppers Drug Mart,-8440002.159,5673548.263600000180304
Drummonds,-8429170.468,5673573.630599999800324
Metro,-8439939.43,5673658.154199999757111
Circle K,-8449190.228,5673715.648699999786913
Quickie,-8415691.766,5673853.618499999865890
Circle K,-8427100.003,5674152.758500000461936
Petro-Canada,-8426217.628,5674210.478600000031292
大統華 T&T Supermarket,-8425794.336,5674267.090499999932945
Circle K,-8432649.337,5674334.233300000429153
Shell Select,-8429518.586,5674491.673100000247359
Bombay Spices,-8430124.009,5674509.155899999663234
Rexall,-8449924.393,5674684.315100000239909
Metro,-8449957.408,5674714.391400000080466
Corner Store,-8450440.001,5674824.391200000420213
Costco,-8429366.379,5674865.171500000171363
Maya Market,-8432896.077,5675153.544900000095367
Circle K,-8451027.111,5675542.005099999718368
Circle K,-8436501.482,5675550.225800000131130
Big Joe's Convenience,-8436392.701,5675589.915400000289083
Petro-Canada,-8433143.93,5675623.634600000455976
Circle K,-8425821.097,5675631.744099999777973
Petro-Canada,-8423520.913,5675657.876699999906123
Sunny Mart,-8423354.713,5675660.490100000053644
Shoppers Drug Mart,-8430348.941,5675959.738199999555945
Carp Foodliner,-8464282.172,5675983.114000000059605
Petro-Canada,-8398361.509,5675983.197100000455976
Metro,-8430010.062,5676001.219499999657273
Farm Boy,-8418649.915,5676104.710300000384450
Farm Boy,-8430477.738,5676230.153699999675155
Silk Road Foods,-8430530.359,5676386.850499999709427
Shell Select,-8436708.281,5676398.935600000433624
Walmart Supercentre,-8438604.92,5676471.844200000166893
Pioneer - Gas Station,-8418553.446,5676480.778699999675155
Circle K,-8420807.644,5676536.787100000306964
Circle K,-8434659.768,5676618.027800000272691
Circle K,-8430624.98,5676811.718100000172853
Shoppers Drug Mart,-8423707.896,5676812.922399999573827
Shirin Market,-8451838.92,5676850.762600000016391
Metro,-8423786.188,5676879.149799999780953
Quickie,-8423576.462,5676931.628499999642372
Shell Select,-8452075.418,5676955.799100000411272
Your Independent Grocer,-8430313.586,5676993.785500000230968
Loblaws,-8433508.835,5677099.092699999921024
MacEwen,-8441971.179,5677111.146800000220537
Iris Food Mart,-8435542.12,5677203.719999999739230
